,title,image_id,medium_display,style_title,artwork_type,category_title,artist_title
0,Beggar with Oysters (Philosopher),4e074d70-4424-331b-ec89-0776a45d6825,Oil on canvas,Realism,Painting,,Édouard Manet
1,Haunted House,0330a6dd-774e-eff1-0073-2be5f85b81d0,Oil on canvas,Surrealism,Painting,,Morris Kantor
2,Woman Mending,132b782d-54e6-70e1-18f9-211468c09099,Oil on canvas,Post-Impressionism,Painting,,Camille Pissarro
3,The Dance,cb178a5a-6c55-c423-a186-d3d467a72f2f,Oil on canvas,,Painting,,Pietro Longhi
4,"Arrival of the Normandy Train, Gare Saint-Lazare",0f1cc0e0-e42e-be16-3f71-2022da38cb93,Oil on canvas,Impressionism,Painting,,Claude Monet
5,"The Flagellation and The Crucifixion, from a Psalter",089d5c1e-3e15-3974-8130-635cf1e82cec,"Opaque watercolor, gold leaf, and shell gold, with pen and red and white ink (recto), and pen and red and black ink (verso), on parchment",medieval,Drawing and Watercolor,,
6,Foliate Bowl with Stylized Peony Spray,8b687509-2df3-6b1e-5487-f437fa02a1b5,Qingbai ware; porcelain with underglaze carved decoration,Chinese (culture or style),Vessel,,
7,Blue and Green Music,702580d8-451e-0b0c-bcc1-bac62e5f6631,Oil on canvas,Modernism,Painting,,Georgia O'Keeffe
8,Thanksgiving,d388928f-3222-b48c-1cbb-7afa917de928,Oil on canvas,Modernism,Painting,,Doris Lee
9,Casket,2d0d8332-670a-8b47-ce10-9501830ec778,"Ivory, brass, tempera, and gold leaf",norman,Decorative Arts,,
10,Bullfight,38636be8-f1bc-c451-ae65-c441919bd0c3,Oil on canvas,Impressionism,Painting,,Édouard Manet
11,Angel with the Red,bae16d08-d889-318f-dad9-4b2038013953,"Cotton, rayon, wool, linen, nylon, metal foil, metal foil laminated in cellulose acetate film, and metal foil laminated in cellulose film, plain weave with discontinuous wefts and supplementary brocading wefts; embroidered in double running, running, and stem stitches",20th Century,Textile,,Martta Taipale
12,Beggar with Oysters (Philosopher),4e074d70-4424-331b-ec89-0776a45d6825,Oil on canvas,Realism,Painting,,Édouard Manet
13,Haunted House,0330a6dd-774e-eff1-0073-2be5f85b81d0,Oil on canvas,Surrealism,Painting,,Morris Kantor
14,Woman Mending,132b782d-54e6-70e1-18f9-211468c09099,Oil on canvas,Post-Impressionism,Painting,,Camille Pissarro
15,The Dance,cb178a5a-6c55-c423-a186-d3d467a72f2f,Oil on canvas,,Painting,,Pietro Longhi
16,"Arrival of the Normandy Train, Gare Saint-Lazare",0f1cc0e0-e42e-be16-3f71-2022da38cb93,Oil on canvas,Impressionism,Painting,,Claude Monet
17,"The Flagellation and The Crucifixion, from a Psalter",089d5c1e-3e15-3974-8130-635cf1e82cec,"Opaque watercolor, gold leaf, and shell gold, with pen and red and white ink (recto), and pen and red and black ink (verso), on parchment",medieval,Drawing and Watercolor,,
18,Foliate Bowl with Stylized Peony Spray,8b687509-2df3-6b1e-5487-f437fa02a1b5,Qingbai ware; porcelain with underglaze carved decoration,Chinese (culture or style),Vessel,,
19,Blue and Green Music,702580d8-451e-0b0c-bcc1-bac62e5f6631,Oil on canvas,Modernism,Painting,,Georgia O'Keeffe
20,Thanksgiving,d388928f-3222-b48c-1cbb-7afa917de928,Oil on canvas,Modernism,Painting,,Doris Lee
21,Casket,2d0d8332-670a-8b47-ce10-9501830ec778,"Ivory, brass, tempera, and gold leaf",norman,Decorative Arts,,
22,Bullfight,38636be8-f1bc-c451-ae65-c441919bd0c3,Oil on canvas,Impressionism,Painting,,Édouard Manet
23,Angel with the Red,bae16d08-d889-318f-dad9-4b2038013953,"Cotton, rayon, wool, linen, nylon, metal foil, metal foil laminated in cellulose acetate film, and metal foil laminated in cellulose film, plain weave with discontinuous wefts and supplementary brocading wefts; embroidered in double running, running, and stem stitches",20th Century,Textile,,Martta Taipale
24,Time Transfixed,6a7160ea-df65-9083-c16c-33b30662208d,Oil on canvas,Surrealism,Painting,,René Magritte
25,Nude with Cats,96c25381-bdfb-81c4-de91-1186aa38ace4,Oil on cardboard,Cubism,Painting,,Pablo Picasso
26,"E-21: French Boudoir of the Louis XV Period, 1740-60",85c7a1dd-f509-270c-a259-b46de292d171,"Miniature room, mixed media",louis xv,Miniature room,,Narcissa Niblack Thorne
27,"Newsies at Skeeter Branch, St. Louis, Missouri, 11:00 a.m.",dc6cb236-de74-6ddd-8c1d-edae810bd2d5,Gelatin silver print,,Photograph,,Lewis Wickes Hine
28,Farallon Granate (Garnet Rock Ridge),61094d6c-54b6-34b8-2850-dac8c971a204,Wool and horsehair; wrapped,,Textile,,Olga de Amaral
29,Roadsters Old and Young,fdb0b101-b858-e7f4-26d2-d75a992cd767,Oil on canvas,,Painting,,Jack Butler Yeats
30,The White Tablecloth,7085f5ee-b5da-bd9f-e8f9-b692be466ea0,Oil on canvas,,Painting,,Jean Baptiste Siméon Chardin
31,Snake,d8f12dad-b0a7-4e58-5e3d-ed4324c84e42,Gelatin silver print,,Photograph,,Imogen Cunningham
32,Back,2ad44032-8faa-dfaf-1da6-1cf9d8d9f783,Gelatin silver print,,Photograph,,Imogen Cunningham
33,"The Triumph, plate two from Intimacies",556c3603-0496-3607-4955-656e9fecd115,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
34,"The Lie, plate one from Intimacies",d93e8067-a95c-efed-bf77-f21e9a36893c,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
35,"Money, plate five from Intimacies",76848a92-2acb-7d10-8ee8-a0864afe5827,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
36,"The Fine Pin, plate three from Intimacies",b5957913-3889-4d93-44d9-1027cefd8377,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
37,"Five O'Clock, plate seven from Intimacies",cfa9124d-6426-d447-4e14-3227aadff837,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
38,"Extreme Measure, plate six from Intimacies",42dc2926-a68c-c88a-ae8c-6b5b2267ef4e,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
39,"The Irreparable, plate ten from Intimacies",7200d7c0-ea93-06f7-856e-45ff13556420,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
40,"The Other's Health, plate nine from Intimacies",b111e47e-62ca-069e-57b1-7dd7a8319f7f,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
41,"Getting Ready for a Visit, plate eight from Intimacies",8277a3a9-5bcf-a663-2814-1b5ee8604762,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
