"title","url","classification"
"Untitled","https://api.nga.gov/iiif/004bb603-f18c-4ad3-98e5-ded56d7d7973/full/!200,200/0/default.jpg","Painting"
"Country House in a Park","https://api.nga.gov/iiif/00209fb1-64a2-4961-9ccc-8c6c06117df2/full/!200,200/0/default.jpg","Painting"
"Cuadro 78","https://api.nga.gov/iiif/008624f7-d50e-4aaa-bfb5-08af1b49fca3/full/!200,200/0/default.jpg","Painting"
"Gentlemen's Still Life","https://api.nga.gov/iiif/0072e45c-c9ef-48ac-b4dd-b5994cf5546c/full/!200,200/0/default.jpg","Painting"
"Seel","https://api.nga.gov/iiif/0087942e-c830-4f71-9fdc-16045e321056/full/!200,200/0/default.jpg","Painting"
"Marcotte d'Argenteuil","https://api.nga.gov/iiif/00929f5a-c00d-41ca-bb8d-3227a06ffd02/full/!200,200/0/default.jpg","Painting"
"Hound and Hunter","https://api.nga.gov/iiif/008013dc-bbe9-4fed-9dc4-0dcf2feadc2b/full/!200,200/0/default.jpg","Painting"
"Maud Dale","https://api.nga.gov/iiif/00b4a35f-7237-4c69-a504-050faa691ff2/full/!200,200/0/default.jpg","Painting"
"Susanna","https://api.nga.gov/iiif/009e5284-cbd1-4034-8495-4428c83ace67/full/!200,200/0/default.jpg","Painting"
"Catlin and Two Companions Shooting Buffalo","https://api.nga.gov/iiif/00c446d0-ddcd-4eed-b25d-86709be75867/full/!200,200/0/default.jpg","Painting"
"Maddalena Cattaneo","https://api.nga.gov/iiif/00a74711-893c-4d34-90d8-0ff32b5fc8a7/full/!200,200/0/default.jpg","Painting"
"Flying Shadows","https://api.nga.gov/iiif/01092c55-0d2e-4e45-a01a-10396c4597fa/full/!200,200/0/default.jpg","Painting"
"Three Pears and an Apple","https://api.nga.gov/iiif/00ab6c46-6677-438e-b6ff-0db0f36956e7/full/!200,200/0/default.jpg","Painting"
"The Petitioner","https://api.nga.gov/iiif/01110a68-b5b4-40e9-bf0c-ddce3157bf1d/full/!200,200/0/default.jpg","Painting"
"1/2 W Series (Medium Scale)","https://api.nga.gov/iiif/011c2817-e2cf-462a-a003-b1d833485f2f/full/!200,200/0/default.jpg","Painting"
"White Lama","https://api.nga.gov/iiif/012debfc-40e7-45b6-9ef6-6cb158ad424b/full/!200,200/0/default.jpg","Painting"
"Facsimile of a Mandan Robe","https://api.nga.gov/iiif/01030b02-cb94-40e7-8f99-b9f39bf99b59/full/!200,200/0/default.jpg","Painting"
"Still Life with Fan and Pendant","https://api.nga.gov/iiif/0132f7ad-adee-49c3-a79b-0108f66fc042/full/!200,200/0/default.jpg","Painting"
"The Last Supper","https://api.nga.gov/iiif/018328c5-9864-47a7-9a06-0b73542d9fdc/full/!200,200/0/default.jpg","Painting"
"Sioux Village - Lac du Cygne","https://api.nga.gov/iiif/01852133-3a3d-4327-8a54-95341f53cff6/full/!200,200/0/default.jpg","Painting"
"The Bridge of Beaugency","https://api.nga.gov/iiif/01ce24b5-ac05-478a-8068-4d439d15dc9c/full/!200,200/0/default.jpg","Painting"
"Madame Bergeret","https://api.nga.gov/iiif/01c5e407-6e59-4ae8-a47e-dd51c5d619a7/full/!200,200/0/default.jpg","Painting"
"Picking Flowers","https://api.nga.gov/iiif/0191f5a7-69f5-4e95-a9cf-11fa232f6db2/full/!200,200/0/default.jpg","Painting"
"No. 10","https://api.nga.gov/iiif/0271aefa-57e8-428a-a2ac-89f10a664210/full/!200,200/0/default.jpg","Painting"
"Head of Bayard","https://api.nga.gov/iiif/023ba558-2011-4644-a8e8-44fab2a236e4/full/!200,200/0/default.jpg","Painting"
"Saint Jerome with Saint Paula and Saint Eustochium","https://api.nga.gov/iiif/029397e9-0b99-45a8-bbf1-6fc6a0275b80/full/!200,200/0/default.jpg","Painting"
"The Mounted Acrobats","https://api.nga.gov/iiif/026ad15b-3ac2-4665-b7ff-58c7a32264cc/full/!200,200/0/default.jpg","Painting"
"Women on the Beach at Berck","https://api.nga.gov/iiif/02c8ff0d-dc16-4120-b611-90a2ed8de407/full/!200,200/0/default.jpg","Painting"
"Imitation","https://api.nga.gov/iiif/02a7f903-bf21-48ca-9f27-36fc04a0ed79/full/!200,200/0/default.jpg","Painting"
"Bust of a Bearded Man","https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15/full/!200,200/0/default.jpg","Painting"
"His First Appearance in Public","https://api.nga.gov/iiif/02c93594-a767-427c-86aa-756ee2ba1af8/full/!200,200/0/default.jpg","Painting"
"Mahantango Valley Farm","https://api.nga.gov/iiif/02f53d1f-074a-4c0e-8765-cc1801a08101/full/!200,200/0/default.jpg","Painting"
"Plum Brandy","https://api.nga.gov/iiif/034ec3ed-7a47-4f14-aa8a-ce48cb6e11a5/full/!200,200/0/default.jpg","Painting"
"Dancing Couple in the Snow [reverse]","https://api.nga.gov/iiif/02d6ebca-0992-4be5-9e1e-06749ec65449/full/!200,200/0/default.jpg","Painting"
"Andrew W. Mellon","https://api.nga.gov/iiif/03076564-b124-41c9-89ba-90d442902349/full/!200,200/0/default.jpg","Painting"
"A Mandan Medicine Man","https://api.nga.gov/iiif/03116f9b-0310-434f-b7d6-b45bb9a4a3c9/full/!200,200/0/default.jpg","Painting"
"Madonna and Child","https://api.nga.gov/iiif/02e91ca8-f02b-4ca7-bb23-49d640cc02f4/full/!200,200/0/default.jpg","Painting"
"Grapes","https://api.nga.gov/iiif/032fdf38-ca4e-4bc4-8bc1-f57d300b54a9/full/!200,200/0/default.jpg","Painting"
"Banquet Piece with Mince Pie","https://api.nga.gov/iiif/0331bb3f-90d2-4fe8-a079-57315ac929a6/full/!200,200/0/default.jpg","Painting"
"The Argonauts [middle panel]","https://api.nga.gov/iiif/0339f626-c218-4c68-bef9-75cfd21a1a08/full/!200,200/0/default.jpg","Painting"
"Four Mura Indians","https://api.nga.gov/iiif/034edbfe-0c7c-4f61-b71b-09e73628994f/full/!200,200/0/default.jpg","Painting"
"An Alligator's Nest","https://api.nga.gov/iiif/0373c93b-602a-4cfe-8f49-d0863321843d/full/!200,200/0/default.jpg","Painting"
